cfg,context,batch,decode_us_per_step,speedup_vs_global
aha-flashinfer,8192,1,324.4,1.632
aha-flashinfer,8192,8,1239.9,1.959
aha-flashinfer,8192,16,2180.3,2.016
aha-flashinfer,8192,32,2919.5,2.703
aha-flashinfer,32768,1,770.0,1.832
aha-flashinfer,32768,4,2157.6,2.044
aha-flashinfer,32768,8,3718.6,1.999
aha-flashinfer,32768,16,5481.0,1.857
aha-flashinfer,65536,1,1257.6,2.058
aha-flashinfer,65536,2,2136.4,2.101
aha-flashinfer,65536,4,3540.4,2.175
aha-flashinfer,65536,8,5357.2,2.011
aha-flashinfer,131072,1,2350.7,2.088
aha-flashinfer,131072,2,3854.2,2.12
aha-flashinfer,131072,4,5608.1,2.083
aha-global,8192,1,529.4,1.0
aha-global,8192,8,2429.5,1.0
aha-global,8192,16,4396.4,1.0
aha-global,8192,32,7890.5,1.0
aha-global,32768,1,1410.6,1.0
aha-global,32768,4,4410.2,1.0
aha-global,32768,8,7433.5,1.0
aha-global,32768,16,10180.4,1.0
aha-global,65536,1,2587.6,1.0
aha-global,65536,2,4488.4,1.0
aha-global,65536,4,7699.6,1.0
aha-global,65536,8,10771.0,1.0
aha-global,131072,1,4907.8,1.0
aha-global,131072,2,8170.9,1.0
aha-global,131072,4,11681.8,1.0
aha-half,8192,1,396.2,1.336
aha-half,8192,8,1538.0,1.58
aha-half,8192,16,2554.9,1.721
aha-half,8192,32,4053.8,1.946
aha-half,32768,1,914.2,1.543
aha-half,32768,4,2567.4,1.718
aha-half,32768,8,4296.2,1.73
aha-half,32768,16,6179.8,1.647
aha-half,65536,1,1559.5,1.659
aha-half,65536,2,2609.5,1.72
aha-half,65536,4,4275.6,1.801
aha-half,65536,8,6268.7,1.718
aha-half,131072,1,2876.6,1.706
aha-half,131072,2,4545.0,1.798
aha-half,131072,4,6430.6,1.817
aha-local,8192,1,218.3,2.426
aha-local,8192,8,256.8,9.46
aha-local,8192,16,271.6,16.188
aha-local,8192,32,397.5,19.852
aha-local,32768,1,233.0,6.055
aha-local,32768,4,224.7,19.623
aha-local,32768,8,234.3,31.729
aha-local,32768,16,238.2,42.737
aha-local,65536,1,226.5,11.425
aha-local,65536,2,216.4,20.745
aha-local,65536,4,218.0,35.314
aha-local,65536,8,223.7,48.14
aha-local,131072,1,233.4,21.025
aha-local,131072,2,212.9,38.372
aha-local,131072,4,204.8,57.039
