context,batch,swa_pct,full_tpot_ms,real_tpot_ms,latency_speedup,real_total_tok_s,alllocal_floor_ms
8192,1,85.1,2.46,2.32,1.06,431.2,2.15
8192,2,84.9,2.84,2.42,1.174,825.7,2.24
8192,4,83.9,3.49,2.7,1.293,1480.6,2.3
8192,8,81.8,4.65,3.24,1.434,2467.0,2.36
16384,1,77.1,2.73,2.34,1.17,428.0,2.13
16384,2,76.0,3.48,2.77,1.254,721.4,2.28
16384,4,77.0,4.68,3.28,1.428,1220.6,2.35
16384,8,77.0,7.11,4.31,1.65,1856.3,2.43
32768,1,73.2,3.39,2.65,1.278,376.7,2.18
32768,2,72.3,4.65,3.26,1.426,614.0,2.31
32768,4,71.9,7.1,4.45,1.594,898.0,2.44
32768,8,71.7,12.21,6.66,1.833,1201.0,2.64
65536,1,71.4,4.6,3.2,1.439,312.6,2.42
65536,2,73.5,7.11,4.32,1.646,463.1,2.46
65536,4,74.0,12.18,6.65,1.831,601.3,2.67
65536,8,72.9,22.01,10.79,2.04,741.4,3.13
131072,1,70.0,7.17,4.38,1.638,228.4,2.46
131072,2,70.3,12.39,6.75,1.835,296.2,2.88
131072,4,70.3,22.2,11.35,1.956,352.5,3.22
