prompt_len,decode_tokens_generated,layer_idx,layer_name,forward_calls,decode_calls,swa_sum,total_slots,swa_frac
512,64,0,model.layers.0.self_attn,0,63,878,1008,0.8710
512,64,1,model.layers.1.self_attn,0,63,869,1008,0.8621
512,64,2,model.layers.2.self_attn,0,63,875,1008,0.8681
512,64,3,model.layers.3.self_attn,0,63,874,1008,0.8671
512,64,4,model.layers.4.self_attn,0,63,882,1008,0.8750
512,64,5,model.layers.5.self_attn,0,63,828,1008,0.8214
512,64,6,model.layers.6.self_attn,0,63,328,1008,0.3254
512,64,7,model.layers.7.self_attn,0,63,721,1008,0.7153
512,64,8,model.layers.8.self_attn,0,63,525,1008,0.5208
512,64,9,model.layers.9.self_attn,0,63,876,1008,0.8690
512,64,10,model.layers.10.self_attn,0,63,515,1008,0.5109
512,64,11,model.layers.11.self_attn,0,63,722,1008,0.7163
512,64,12,model.layers.12.self_attn,0,63,582,1008,0.5774
512,64,13,model.layers.13.self_attn,0,63,706,1008,0.7004
512,64,14,model.layers.14.self_attn,0,63,572,1008,0.5675
512,64,15,model.layers.15.self_attn,0,63,797,1008,0.7907
2048,64,0,model.layers.0.self_attn,0,63,905,1008,0.8978
2048,64,1,model.layers.1.self_attn,0,63,845,1008,0.8383
2048,64,2,model.layers.2.self_attn,0,63,903,1008,0.8958
2048,64,3,model.layers.3.self_attn,0,63,910,1008,0.9028
2048,64,4,model.layers.4.self_attn,0,63,908,1008,0.9008
2048,64,5,model.layers.5.self_attn,0,63,776,1008,0.7698
2048,64,6,model.layers.6.self_attn,0,63,298,1008,0.2956
2048,64,7,model.layers.7.self_attn,0,63,529,1008,0.5248
2048,64,8,model.layers.8.self_attn,0,63,249,1008,0.2470
2048,64,9,model.layers.9.self_attn,0,63,598,1008,0.5933
2048,64,10,model.layers.10.self_attn,0,63,232,1008,0.2302
2048,64,11,model.layers.11.self_attn,0,63,498,1008,0.4940
2048,64,12,model.layers.12.self_attn,0,63,404,1008,0.4008
2048,64,13,model.layers.13.self_attn,0,63,397,1008,0.3938
2048,64,14,model.layers.14.self_attn,0,63,434,1008,0.4306
2048,64,15,model.layers.15.self_attn,0,63,709,1008,0.7034
8192,64,0,model.layers.0.self_attn,0,63,924,1008,0.9167
8192,64,1,model.layers.1.self_attn,0,63,719,1008,0.7133
8192,64,2,model.layers.2.self_attn,0,63,940,1008,0.9325
8192,64,3,model.layers.3.self_attn,0,63,960,1008,0.9524
8192,64,4,model.layers.4.self_attn,0,63,1003,1008,0.9950
8192,64,5,model.layers.5.self_attn,0,63,997,1008,0.9891
8192,64,6,model.layers.6.self_attn,0,63,849,1008,0.8423
8192,64,7,model.layers.7.self_attn,0,63,841,1008,0.8343
8192,64,8,model.layers.8.self_attn,0,63,743,1008,0.7371
8192,64,9,model.layers.9.self_attn,0,63,933,1008,0.9256
8192,64,10,model.layers.10.self_attn,0,63,402,1008,0.3988
8192,64,11,model.layers.11.self_attn,0,63,677,1008,0.6716
8192,64,12,model.layers.12.self_attn,0,63,537,1008,0.5327
8192,64,13,model.layers.13.self_attn,0,63,800,1008,0.7937
8192,64,14,model.layers.14.self_attn,0,63,896,1008,0.8889
8192,64,15,model.layers.15.self_attn,0,63,923,1008,0.9157
16384,64,0,model.layers.0.self_attn,0,63,851,1008,0.8442
16384,64,1,model.layers.1.self_attn,0,63,572,1008,0.5675
16384,64,2,model.layers.2.self_attn,0,63,978,1008,0.9702
16384,64,3,model.layers.3.self_attn,0,63,1003,1008,0.9950
16384,64,4,model.layers.4.self_attn,0,63,1008,1008,1.0000
16384,64,5,model.layers.5.self_attn,0,63,885,1008,0.8780
16384,64,6,model.layers.6.self_attn,0,63,712,1008,0.7063
16384,64,7,model.layers.7.self_attn,0,63,760,1008,0.7540
16384,64,8,model.layers.8.self_attn,0,63,553,1008,0.5486
16384,64,9,model.layers.9.self_attn,0,63,836,1008,0.8294
16384,64,10,model.layers.10.self_attn,0,63,176,1008,0.1746
16384,64,11,model.layers.11.self_attn,0,63,803,1008,0.7966
16384,64,12,model.layers.12.self_attn,0,63,593,1008,0.5883
16384,64,13,model.layers.13.self_attn,0,63,795,1008,0.7887
16384,64,14,model.layers.14.self_attn,0,63,815,1008,0.8085
16384,64,15,model.layers.15.self_attn,0,63,893,1008,0.8859
32768,64,0,model.layers.0.self_attn,0,63,834,1008,0.8274
32768,64,1,model.layers.1.self_attn,0,63,607,1008,0.6022
32768,64,2,model.layers.2.self_attn,0,63,717,1008,0.7113
32768,64,3,model.layers.3.self_attn,0,63,989,1008,0.9812
32768,64,4,model.layers.4.self_attn,0,63,1008,1008,1.0000
32768,64,5,model.layers.5.self_attn,0,63,941,1008,0.9335
32768,64,6,model.layers.6.self_attn,0,63,866,1008,0.8591
32768,64,7,model.layers.7.self_attn,0,63,821,1008,0.8145
32768,64,8,model.layers.8.self_attn,0,63,553,1008,0.5486
32768,64,9,model.layers.9.self_attn,0,63,900,1008,0.8929
32768,64,10,model.layers.10.self_attn,0,63,274,1008,0.2718
32768,64,11,model.layers.11.self_attn,0,63,786,1008,0.7798
32768,64,12,model.layers.12.self_attn,0,63,421,1008,0.4177
32768,64,13,model.layers.13.self_attn,0,63,621,1008,0.6161
32768,64,14,model.layers.14.self_attn,0,63,668,1008,0.6627
32768,64,15,model.layers.15.self_attn,0,63,656,1008,0.6508
